GO:0050896,response to stimulus
GO:0042221,response to chemical
GO:0016491,oxidoreductase activity
GO:0051187,cofactor catabolic process
GO:0006787,porphyrin-containing compound catabolic process
GO:0033015,tetrapyrrole catabolic process
GO:0010033,response to organic substance
GO:0034357,photosynthetic membrane
GO:0009521,photosystem
GO:0016301,kinase activity
GO:0009719,response to endogenous stimulus
GO:0001101,response to acid chemical
GO:1901700,response to oxygen-containing compound
GO:0003824,catalytic activity
GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
GO:0044699,single-organism process
GO:0016740,transferase activity
GO:0016757,"transferase activity, transferring glycosyl groups"
GO:0044436,thylakoid part
GO:0016020,membrane
GO:0046527,glucosyltransferase activity
GO:0009725,response to hormone
GO:0044550,secondary metabolite biosynthetic process
GO:0009605,response to external stimulus
GO:0009607,response to biotic stimulus
GO:0019748,secondary metabolic process
GO:0004672,protein kinase activity
GO:0032958,inositol phosphate biosynthetic process
GO:0046173,polyol biosynthetic process
GO:0043207,response to external biotic stimulus
GO:0051707,response to other organism
GO:0006820,anion transport
GO:0015698,inorganic anion transport
GO:0009536,plastid
GO:0048511,rhythmic process
GO:0007154,cell communication
GO:0016772,"transferase activity, transferring phosphorus-containing groups"
GO:0043167,ion binding
GO:0044272,sulfur compound biosynthetic process
GO:0044765,single-organism transport
GO:0044425,membrane part
GO:0009507,chloroplast
GO:0044434,chloroplast part
GO:0043647,inositol phosphate metabolic process
GO:0016144,S-glycoside biosynthetic process
GO:0019758,glycosinolate biosynthetic process
GO:0016798,"hydrolase activity, acting on glycosyl bonds"
GO:0046165,alcohol biosynthetic process
GO:0016701,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"
GO:1902578,single-organism localization
GO:0043169,cation binding
GO:0006950,response to stress
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
GO:0009579,thylakoid
GO:0009755,hormone-mediated signaling pathway
GO:0071495,cellular response to endogenous stimulus
GO:0032870,cellular response to hormone stimulus
GO:1901617,organic hydroxy compound biosynthetic process
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0046872,metal ion binding
GO:0009746,response to hexose
GO:0016143,S-glycoside metabolic process
GO:0019757,glycosinolate metabolic process
GO:0034284,response to monosaccharide
GO:0030001,metal ion transport
GO:0071310,cellular response to organic substance
GO:0004871,signal transducer activity
GO:0004497,monooxygenase activity
GO:0015979,photosynthesis
GO:0016758,"transferase activity, transferring hexosyl groups"
GO:0070887,cellular response to chemical stimulus
GO:0046914,transition metal ion binding
GO:0044435,plastid part
GO:0051704,multi-organism process
GO:0019684,"photosynthesis, light reaction"
GO:0009767,photosynthetic electron transport chain
GO:0044700,single organism signaling
GO:0010506,regulation of autophagy
GO:0016413,O-acetyltransferase activity
GO:0015171,amino acid transmembrane transporter activity
GO:0005576,extracellular region
GO:0023052,signaling
GO:0009608,response to symbiont
GO:0065007,biological regulation
GO:0042579,microbody
GO:0051346,negative regulation of hydrolase activity
GO:0010466,negative regulation of peptidase activity
GO:0061134,peptidase regulator activity
GO:0061135,endopeptidase regulator activity
GO:0016307,phosphatidylinositol phosphate kinase activity
GO:0007165,signal transduction
GO:0030162,regulation of proteolysis
GO:0008509,anion transmembrane transporter activity
GO:0009698,phenylpropanoid metabolic process
GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors"
GO:0052547,regulation of peptidase activity
GO:0008272,sulfate transport
GO:0006790,sulfur compound metabolic process
GO:0000097,sulfur amino acid biosynthetic process
GO:0046906,tetrapyrrole binding
